user,user_code,problem_code,time,category
anacarlaaf,237535,1069,2024-04-13 19:08:37,Introductory Problems
anacarlaaf,237535,1070,2024-04-14 20:45:03,Introductory Problems
anacarlaaf,237535,1094,2024-04-14 21:04:21,Introductory Problems
anacarlaaf,237535,1071,2024-04-18 04:01:31,Introductory Problems
anacarlaaf,237535,1643,2024-05-05 18:40:22,Sorting and Searching
anacarlaaf,237535,1755,2024-05-05 22:31:08,Introductory Problems
anacarlaaf,237535,1192,2024-07-18 06:05:02,Graph Algorithms
anacarlaaf,237535,1083,2024-07-21 23:11:21,Introductory Problems
anacarlaaf,237535,1193,2024-07-23 03:50:22,Graph Algorithms
anacarlaaf,237535,1092,2024-08-07 22:28:01,Introductory Problems
anacarlaaf,237535,1617,2024-08-08 00:11:06,Introductory Problems
anacarlaaf,237535,1068,2024-09-10 18:42:43,Introductory Problems
anacarlaaf,237535,1629,2024-09-17 18:00:27,Sorting and Searching
anacarlaaf,237535,1619,2024-09-19 20:09:41,Sorting and Searching
anacarlaaf,237535,2162,2024-09-24 18:22:25,Sorting and Searching
anacarlaaf,237535,1074,2024-09-26 17:05:27,Sorting and Searching
anacarlaaf,237535,1669,2025-01-06 17:46:14,Graph Algorithms
anacarlaaf,237535,1682,2025-01-07 21:18:03,Graph Algorithms
anacarlaaf,237535,2077,2025-01-08 17:07:28,Advanced Techniques
anacarlaaf,237535,1079,2025-01-21 03:22:05,Mathematics
anacarlaaf,237535,1713,2025-01-25 01:38:48,Mathematics
anacarlaaf,237535,1633,2025-01-26 23:20:02,Dynamic Programming
anacarlaaf,237535,1634,2025-01-28 02:20:25,Dynamic Programming
anacarlaaf,237535,1635,2025-01-28 03:05:12,Dynamic Programming
anacarlaaf,237535,1636,2025-01-28 03:43:36,Dynamic Programming
anacarlaaf,237535,1637,2025-01-28 21:20:33,Dynamic Programming
anacarlaaf,237535,1638,2025-01-29 03:53:46,Dynamic Programming
anacarlaaf,237535,1158,2025-01-31 00:08:41,Dynamic Programming
anacarlaaf,237535,1072,2025-01-31 04:41:42,Introductory Problems
anacarlaaf,237535,1674,2025-02-01 01:07:50,Tree Algorithms
anacarlaaf,237535,1618,2025-02-06 03:36:51,Introductory Problems
anacarlaaf,237535,1621,2025-02-17 16:35:47,Sorting and Searching
anacarlaaf,237535,1754,2025-06-01 21:42:58,Introductory Problems
anacarlaaf,237535,2205,2025-06-02 17:31:06,Introductory Problems
anacarlaaf,237535,1622,2025-06-04 15:15:46,Introductory Problems
anacarlaaf,237535,1679,2025-08-27 13:09:34,Graph Algorithms
anacarlaaf,237535,2189,2025-09-09 12:33:40,Geometry
anacarlaaf,237535,1675,2025-09-19 13:02:54,Graph Algorithms
anacarlaaf,237535,1676,2025-09-20 03:27:24,Graph Algorithms
anacarlaaf,237535,1623,2026-02-06 23:05:23,Introductory Problems
anacarlaaf,237535,2165,2026-02-11 19:44:47,Introductory Problems
anacarlaaf,237535,2195,2026-04-09 15:30:20,Geometry
anacarlaaf,237535,1624,2026-04-24 14:40:22,Introductory Problems
anacarlaaf,237535,1671,2026-05-11 18:39:22,Graph Algorithms
luanzito,156331,1192,2023-03-04 02:57:41,Graph Algorithms
luanzito,156331,1070,2023-03-18 03:01:37,Introductory Problems
luanzito,156331,1069,2023-03-18 03:12:41,Introductory Problems
luanzito,156331,1617,2023-04-10 05:19:05,Introductory Problems
luanzito,156331,1094,2023-06-02 00:32:54,Introductory Problems
luanzito,156331,1090,2023-06-07 03:33:25,Sorting and Searching
luanzito,156331,1084,2023-06-07 04:48:42,Sorting and Searching
luanzito,156331,1091,2023-06-07 16:05:22,Sorting and Searching
luanzito,156331,1068,2023-06-07 17:10:44,Introductory Problems
luanzito,156331,1672,2023-09-05 19:07:40,Graph Algorithms
luanzito,156331,1687,2023-09-09 00:38:58,Tree Algorithms
luanzito,156331,1750,2023-09-11 16:50:09,Graph Algorithms
luanzito,156331,1145,2023-10-02 19:49:14,Dynamic Programming
luanzito,156331,2183,2023-10-02 20:11:09,Sorting and Searching
luanzito,156331,1745,2023-10-14 17:12:19,Dynamic Programming
luanzito,156331,2216,2023-10-22 00:01:01,Sorting and Searching
luanzito,156331,1622,2024-02-14 17:36:30,Introductory Problems
luanzito,156331,1660,2024-02-14 18:57:04,Sorting and Searching
luanzito,156331,1661,2024-02-14 19:24:03,Sorting and Searching
luanzito,156331,1662,2024-02-14 19:51:02,Sorting and Searching
luanzito,156331,2428,2024-02-14 20:18:16,Sorting and Searching
luanzito,156331,1619,2024-02-15 01:04:16,Sorting and Searching
luanzito,156331,1638,2024-02-20 19:11:58,Dynamic Programming
luanzito,156331,1633,2024-02-20 20:35:59,Dynamic Programming
luanzito,156331,1635,2024-02-21 02:57:52,Dynamic Programming
luanzito,156331,1636,2024-02-21 03:23:06,Dynamic Programming
luanzito,156331,1158,2024-02-21 22:57:05,Dynamic Programming
luanzito,156331,1618,2024-02-25 04:03:45,Introductory Problems
luanzito,156331,1690,2024-03-01 16:54:06,Graph Algorithms
luanzito,156331,1681,2024-03-01 18:01:41,Graph Algorithms
luanzito,156331,1074,2024-03-01 23:19:58,Sorting and Searching
luanzito,156331,1620,2024-03-01 23:51:15,Sorting and Searching
luanzito,156331,1666,2024-03-09 17:59:07,Graph Algorithms
luanzito,156331,1668,2024-03-09 18:28:20,Graph Algorithms
luanzito,156331,1674,2024-03-09 19:47:00,Tree Algorithms
luanzito,156331,1131,2024-03-10 03:46:11,Tree Algorithms
luanzito,156331,1141,2024-03-15 05:09:29,Sorting and Searching
luanzito,156331,1751,2024-03-15 22:41:19,Graph Algorithms
luanzito,156331,2185,2024-03-15 23:55:31,Mathematics
luanzito,156331,1679,2024-03-17 06:26:37,Graph Algorithms
luanzito,156331,1757,2024-03-17 06:34:02,Advanced Graph Problems
luanzito,156331,1630,2024-03-17 20:46:46,Sorting and Searching
luanzito,156331,1675,2024-03-23 23:07:39,Graph Algorithms
luanzito,156331,1645,2024-03-25 23:07:27,Sorting and Searching
luanzito,156331,1755,2024-03-26 00:01:52,Introductory Problems
luanzito,156331,1631,2024-03-26 04:06:32,Sorting and Searching
luanzito,156331,1195,2024-03-27 04:48:03,Graph Algorithms
luanzito,156331,1713,2024-03-29 17:34:38,Mathematics
luanzito,156331,1081,2024-03-29 18:56:22,Mathematics
luanzito,156331,1095,2024-03-29 19:15:12,Mathematics
luanzito,156331,1712,2024-03-29 19:21:27,Mathematics
luanzito,156331,1163,2024-03-31 21:09:55,Sorting and Searching
luanzito,156331,1079,2024-03-31 22:37:12,Mathematics
luanzito,156331,1715,2024-03-31 22:49:12,Mathematics
luanzito,156331,1716,2024-03-31 23:05:31,Mathematics
luanzito,156331,1639,2024-04-02 18:10:23,Dynamic Programming
luanzito,156331,1096,2024-04-04 02:18:26,Mathematics
luanzito,156331,1653,2024-04-04 21:33:57,Dynamic Programming
luanzito,156331,1097,2024-04-06 04:38:29,Dynamic Programming
luanzito,156331,1667,2024-04-11 19:53:34,Graph Algorithms
luanzito,156331,1193,2024-04-11 21:04:04,Graph Algorithms
luanzito,156331,1137,2024-04-11 22:36:18,Tree Algorithms
luanzito,156331,1138,2024-04-12 02:39:37,Tree Algorithms
luanzito,156331,1734,2024-04-12 03:37:18,Range Queries
luanzito,156331,1649,2024-04-12 20:44:21,Range Queries
luanzito,156331,1651,2024-04-12 20:57:33,Range Queries
luanzito,156331,1144,2024-04-12 21:54:52,Range Queries
luanzito,156331,1143,2024-04-13 22:18:41,Range Queries
luanzito,156331,1688,2024-04-16 19:44:12,Tree Algorithms
luanzito,156331,1135,2024-04-16 19:45:42,Tree Algorithms
luanzito,156331,2166,2024-04-17 02:19:43,Range Queries
